"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1789653097629000192","Sun May 12 13:45:23 +0000 2024","6","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/pgtd5Crx5F","1789653097629000192","","","in","","0","6","6","https://twitter.com/JulieReid515458/status/1789653097629000192","1777855395232706560","JulieReid515458"
"1789588027091890395","Sun May 12 13:45:12 +0000 2024","0","@MFaDinar @indosupporter Kalo fokusin timnas laki2 timnas wanita nya kapan? Nunggu 2045??? Keburu Timnas wanita nya Singapore Kamboja Myanmar Timor Leste ke pildun","1789653053085499482","","MFaDinar","in","Bandung, Indonesia","0","0","0","https://twitter.com/HillmanAdli/status/1789653053085499482","277300234","HillmanAdli"
"1789652927080194220","Sun May 12 13:44:42 +0000 2024","6","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/IgxEWUt3EM","1789652927080194220","","","in","","0","6","6","https://twitter.com/BernardYou92881/status/1789652927080194220","1769370354059812865","BernardYou92881"
"1789643060579828080","Sun May 12 13:44:13 +0000 2024","25","@FaktaSepakbola Terima kasih sudah berjuang. Maafkan fans timnas baru yang terlalu berekspetasi tinggi kepada kalian sehingga mereka mencaci maki di kolom komentar sosial media kalian. PSSI anjing.","1789652803046326523","","FaktaSepakbola","in","","0","0","2","https://twitter.com/wepe20_/status/1789652803046326523","276941998","wepe20_"
"1789652797987893583","Sun May 12 13:44:11 +0000 2024","8","Owh ini yang katanya Viral anime onepiece manga netflix spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/Zup1uq2tjn","1789652797987893583","","","in","Toronto","0","6","6","https://twitter.com/MeganHristov/status/1789652797987893583","37557523","MeganHristov"
"1789652580706169169","Sun May 12 13:43:20 +0000 2024","7","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/9jgHhPtimB","1789652580706169169","","","in","Estonia","0","7","7","https://twitter.com/Mrqez/status/1789652580706169169","90487687","Mrqez"
"1789652446031356136","Sun May 12 13:42:47 +0000 2024","0","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/gguOWwBkZV","1789652446031356136","","","in","","0","0","0","https://twitter.com/AustinCale47888/status/1789652446031356136","1769429222861197312","AustinCale47888"
"1787038464443347125","Sun May 12 13:42:34 +0000 2024","0","Gak lanjut guys katanya gaboleh bikin au timnas tp yg ini aku keep aja ya hehe","1789652390838431888","","minjeongghuh","in","","0","0","0","https://twitter.com/minjeongghuh/status/1789652390838431888","1768569341703061504","minjeongghuh"
"1789652361868394559","Sun May 12 13:42:27 +0000 2024","5","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/MfdbaMbrpW","1789652361868394559","","","in","","0","4","4","https://twitter.com/DavidsonJo44776/status/1789652361868394559","1769378241024770048","DavidsonJo44776"
"1789652337038086413","Sun May 12 13:42:21 +0000 2024","7","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/EZyc8XTsug","1789652337038086413","","","in","china","0","7","7","https://twitter.com/jessieh02631629/status/1789652337038086413","614681987","jessieh02631629"
"1789652189478371643","Sun May 12 13:41:46 +0000 2024","7","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/5O0NDRKDa8","1789652189478371643","","","in","","0","7","7","https://twitter.com/Liliana92547871/status/1789652189478371643","1048904120","Liliana92547871"
"1789652101091803177","Sun May 12 13:41:25 +0000 2024","7","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/RhEg9qfrR1","1789652101091803177","","","in","","0","7","7","https://twitter.com/OnitaPete49774/status/1789652101091803177","1747769063349313536","OnitaPete49774"
"1789648525330186319","Sun May 12 13:41:17 +0000 2024","0","@MafiaWasit Turnamen buat seleksi pemain liga 1 masuk timnas senior ya?","1789652068351070604","","MafiaWasit","in","","0","0","0","https://twitter.com/ganesharaynaldi/status/1789652068351070604","265863223","ganesharaynaldi"
"1789652058985107501","Sun May 12 13:41:15 +0000 2024","6","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/pgtd5Crx5F","1789652058985107501","","","in","","0","6","6","https://twitter.com/JulieReid515458/status/1789652058985107501","1777855395232706560","JulieReid515458"
"1789614424455864365","Sun May 12 13:40:47 +0000 2024","1","@BeenxMon fix malam ini nangisin timnas lg","1789651942974906663","","BeenxMon","in","","0","0","0","https://twitter.com/thirdievia/status/1789651942974906663","1523948649725988865","thirdievia"
"1789651762200400089","Sun May 12 13:40:04 +0000 2024","6","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/IgxEWUt3EM","1789651762200400089","","","in","","0","7","6","https://twitter.com/BernardYou92881/status/1789651762200400089","1769370354059812865","BernardYou92881"
"1789651732320199034","Sun May 12 13:39:57 +0000 2024","6","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/MfdbaMbrpW","1789651732320199034","","","in","","0","6","5","https://twitter.com/DavidsonJo44776/status/1789651732320199034","1769378241024770048","DavidsonJo44776"
"1789651670428951027","Sun May 12 13:39:43 +0000 2024","8","Owh ini yang katanya Viral anime onepiece manga netflix spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/Zup1uq2tjn","1789651670428951027","","","in","Toronto","0","6","6","https://twitter.com/MeganHristov/status/1789651670428951027","37557523","MeganHristov"
"1789651581547466938","Sun May 12 13:39:21 +0000 2024","7","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/9jgHhPtimB","1789651581547466938","","","in","Estonia","0","7","7","https://twitter.com/Mrqez/status/1789651581547466938","90487687","Mrqez"
"1789651511074848823","Sun May 12 13:39:05 +0000 2024","0","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/gguOWwBkZV","1789651511074848823","","","in","","0","0","0","https://twitter.com/AustinCale47888/status/1789651511074848823","1769429222861197312","AustinCale47888"
"1789648185637671129","Sun May 12 13:37:38 +0000 2024","0","@redbfull suatu saat akan ada massa timnas u 23 yg umurnya pling tua tp dia lebih muda dr kita","1789651148082929799","","redbfull","in","DNFF rl thingy","0","1","0","https://twitter.com/fuormula1/status/1789651148082929799","1485055511129378819","fuormula1"
"1789608518397620567","Sun May 12 13:37:33 +0000 2024","0","@Bola_Jakarta Agak aneh juga ya di timnas padahal bisa nyetel sama Jordi/elkan/hubner. Di klub ada kudy yang notabene nya lebih berpengalaman dibanding elkan/hubner jadi kaku.","1789651129003049454","","Bola_Jakarta","in","Tangerang, Banten","0","0","0","https://twitter.com/rhnMuhammad_/status/1789651129003049454","2199124160","rhnMuhammad_"
"1789651126742381022","Sun May 12 13:37:33 +0000 2024","1","Timnas Putri Indonesia U-17 Kalah Telak dengan Korea Utara 0-9 https://t.co/oFhTaEn6ir","1789651126742381022","","","in","Jakarta Capital Region","0","0","0","https://twitter.com/cnbcindonesia/status/1789651126742381022","847372542830444544","cnbcindonesia"
"1789651125513388264","Sun May 12 13:37:33 +0000 2024","6","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/EZyc8XTsug","1789651125513388264","","","in","china","0","7","7","https://twitter.com/jessieh02631629/status/1789651125513388264","614681987","jessieh02631629"
"1789651084782522688","Sun May 12 13:37:23 +0000 2024","7","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/5O0NDRKDa8","1789651084782522688","","","in","","0","7","7","https://twitter.com/Liliana92547871/status/1789651084782522688","1048904120","Liliana92547871"
"1789650915873685920","Sun May 12 13:36:43 +0000 2024","7","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/RhEg9qfrR1","1789650915873685920","","","in","","0","7","7","https://twitter.com/OnitaPete49774/status/1789650915873685920","1747769063349313536","OnitaPete49774"
"1789626728698253356","Sun May 12 13:36:41 +0000 2024","0","@panditfootball @erickthohir Lah lah ..justru di club pemain itu di tempa ...mental dan skill nya dengan kompetisi yang bagus dan kompetitif otomatis output nya ke timnas juga bagus ..kompetisi ajah ora ada mau suruh latihan piye tho pak ketum ","1789650910416933123","","panditfootball","in","jakarta","0","0","0","https://twitter.com/ariezz_guentoro/status/1789650910416933123","105862521","ariezz_guentoro"
"1789650856826351641","Sun May 12 13:36:29 +0000 2024","0","Menurut Sumardji bonus akan diberikan untuk skuad timnas U-23 Indonesia karena telah melampaui target di Piala Asia U-23 2024. Marselino dan kawan-kawan bahkan sudah dekat sekali dengan Olimpiade Paris 2024. 🇮🇩 #KitaGaruda https://t.co/1TLNryxk4E","1789650856826351641","","","in","JAKARTA","0","0","0","https://twitter.com/tribunSUPERBALL/status/1789650856826351641","626306017","tribunSUPERBALL"
"1789596642863407500","Sun May 12 13:36:12 +0000 2024","0","@whatascummyboi @ainurohman ada kuota ga ngab coba liht di ig timnas .","1789650788488466685","","whatascummyboi","in","Yogyakarta-Parakan-Padang","0","0","0","https://twitter.com/20RiFebriant/status/1789650788488466685","53866432","20RiFebriant"
"1789650719550906753","Sun May 12 13:35:56 +0000 2024","7","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/9jgHhPtimB","1789650719550906753","","","in","Estonia","0","7","7","https://twitter.com/Mrqez/status/1789650719550906753","90487687","Mrqez"
"1789650717327982655","Sun May 12 13:35:55 +0000 2024","6","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/IgxEWUt3EM","1789650717327982655","","","in","","0","6","6","https://twitter.com/BernardYou92881/status/1789650717327982655","1769370354059812865","BernardYou92881"
"1789650712500293877","Sun May 12 13:35:54 +0000 2024","6","Owh ini yang katanya Viral anime onepie manga netflix Spotify mvs DoodStream malam sabtu maljum Timnas #viralindo https://t.co/MfdbaMbrpW","1789650712500293877","","","in","","0","5","5","https://twitter.com/DavidsonJo44776/status/1789650712500293877","1769378241024770048","DavidsonJo44776"
